Title,Address,Website,Phone
"X.O Liquor Beer, Wine, Smoke & Vape Shop (View Website For Delivery)","18403 N 19th Ave, Phoenix, AZ 85023, United States",https://www.ubereats.com/store/liquor-munchies-%26-more/vExyRp-fV3-40QuOpC13cA?diningMode=DELIVERY&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkpXJTIwTWFycmlvdHQlMjBQaG9lbml4JTIwRGVzZXJ0JTIwUmlkZ2UlMjBSZXNvcnQlMjAlMjYlMjBTcGElMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJkMjZkMDRiYS00YWIyLWFlMGYtODJhZC0yZDA0NDg5MDE3YzYlMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIydWJlcl9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTMzLjY4MzQ2OTglMkMlMjJsb25naXR1ZGUlMjIlM0EtMTExLjk2NTkzMTIlN0Q%3D&utm_source=menu-maker,+1 602-548-1265
Tempe Liquor & Smoke shop,"1025 W Broadway Rd, Tempe, AZ 85282, United States",,+1 480-894-1147
Star Liquor & Convenience,"1512 Nawdawdawdawdawawdawdawdawdawdawdawd Scottsdale Rd, Tempe, AZ 85288, United States",,+1 480-941-4526
Chandler Liquors,"554 N Arizona Ave, Chandler, AZ 85225, United States",http://www.chandlerliquorsaz.com/,+1 480-963-5100
Fiesta Liquor,"753 S Alma School Rd #1, Mesa, AZ 85210, United States",https://www.facebook.com/Fiesta.Liquors.Mesa.AZ/,+1 480-834-4488
Alamo Liquor,"2001 E Van Buren St, Phoenix, AZ 85006, United States",,+1 602-254-9171
Paradise Liquor,"722 W Southern Ave, Phoenix, AZ 85041, United States",https://paradiseliquoraz.com/,+1 602-243-9777
Beer| Wine| Smoke| Liquor,Address not found,,+1 602-242-1079
Skyline Liquor and Beer,"9950 E Broadway Rd, Mesa, AZ 85208, United States",http://skylinebroadway.com/,+1 480-986-9954
Metro Convenience & Liquor,"7515 W Indian School Rd, Phoenix, AZ 85033, United States",,+1 623-873-6417
Cork & Bottle Liquor,"4101 E McDowell Rd, Phoenix, AZ 85008, United States",,+1 602-275-1861
R&F Liquor,"4727 E Southern Ave C, Phoenix, AZ 85042, United States",,+1 602-438-9059
Lucky's Liquor,"2328 N 16th St, Phoenix, AZ 85006, United States",https://luckysliquor.com/,+1 602-258-4688
CACTUS LIQUOR,"2850 W Cactus Rd, Phoenix, AZ 85029, United States",,+1 602-993-9980
Pop N' Bottles Drive Thru Liquor,"1620 W Buckeye Rd, Phoenix, AZ 85007, United States",https://www.facebook.com/popnbottlesliquor/,+1 602-252-0254
West Side Liquor & Vape,"4635 W Indian School Rd, Phoenix, AZ 85031, United States",,+1 602-272-5021
Thomas Market Liquors,"345 W Thomas Rd, Phoenix, AZ 85013, United States",,+1 602-274-4780
Royal Liquor,"12252 N 51st Ave, Glendale, AZ 85304, United States",,+1 602-978-5711
Camelback Liquors,"Chesterfield, 2002 W Camelback Rd, Phoenix, AZ 85015, United States",https://www.facebook.com/Camelback-liquors-549448651865496/,+1 602-246-2961
Village Liquors,"3143 E Greenway Rd, Phoenix, AZ 85032, United States",,+1 602-867-2343
Olive Liquor,Address not found,,+1 623-931-3007
Farmers Quality Liquor,Address not found,,+1 623-435-9247
R J Liquors,Address not found,,+1 623-245-1567
A One Liquor,"901 E Indian School Rd, Phoenix, AZ 85014, United States",http://a-one-liquor.slue.io/,+1 602-274-4304
Fairway Liquor Market,"340 W Brown Rd, Mesa, AZ 85201, United States",,+1 480-464-5695
LIQUOR VILLA TEMPE,"1335 W University Dr, Tempe, AZ 85281, United States",,+1 480-517-0404
Walker Liquor,Address not found,,+1 602-943-2575
Tops Liquors,"403 W University Dr #104, Tempe, AZ 85281, United States",http://topsliquors.com/,+1 480-967-5643
Dysart Liquor,Address not found,,
Bell Tower Market & Liquor Drive Thru,"6302 W Bell Rd, Glendale, AZ 85308, United States",,+1 623-878-7730
Best Liquor,"3320 S Priest Dr Suite #2, Tempe, AZ 85282, United States",https://bestliquortempe.com/,+1 480-534-7352
Los Amigos Liquor,"4141 N 35th Ave #14, Phoenix, AZ 85017, United States",http://losamigosliquor.com/,+1 602-249-4833
Quick Corner Liquor,Address not found,http://www.quickcornerliquormaryvale.com/,+1 602-233-9120
Thunderbird Liquor,"4920 W Thunderbird Rd # 129, Glendale, AZ 85306, United States",,+1 602-978-5347
